Time,DataRate_Mbps
1.00812,0.000287582
1.00835,1.80388e+07
1.00853,0.377278
1.0088,1.4891e+07
1.00954,109.706
1.01069,50.4951
1.01629,12.3713
1.02027,5.78242
1.02596,48.8158
1.0299,5.83528
1.03386,5.80873
1.03779,5.84865
1.04173,5.82198
1.04567,5.83528
1.04972,5.67953
1.05375,5.70491
1.05767,5.84865
1.0616,5.84865
1.06572,120.98
1.06973,124.515
1.07381,122.046
1.07782,124.236
1.08184,123.958
1.0859,122.858
1.09002,120.98
1.09411,121.778
1.09825,120.453
1.10232,122.586
1.10678,111.807
1.11082,123.406
1.11494,120.716
1.11903,122.046
1.12312,121.778
1.12719,122.586
1.1313,121.244
1.13542,120.98
1.13839,117.222
1.14041,114.652
1.14173,113.526
1.14269,108.829
1.14348,102.998
1.1441,92.57
1.14459,94.0263
1.14514,83.335
1.14569,84.711
1.14631,74.8268
1.14671,84.7324
1.14731,77.0751
1.14773,82.9039
1.14816,81.1527
1.14863,73.4004
1.14925,73.7512
1.14972,74.83
1.15031,78.2507
1.15072,82.9039
1.15118,76.3165
1.1518,73.7512
1.15243,73.7512
1.15295,89.1259
1.15355,77.0751
1.1541,83.335
1.15456,74.83
1.15519,73.7512
1.15574,83.335
1.1562,74.83
1.15678,80.7129
1.15718,84.7324
1.15764,76.3165
1.15825,74.8268
1.15882,82.003
1.15929,73.4004
1.15975,74.83
1.16032,80.7129
1.1609,79.4627
1.16137,74.83
1.16195,79.4627
1.16238,79.474
1.16297,78.2507
1.16342,77.8632
1.16388,74.83
1.16446,79.4627
1.16501,83.335
1.16548,74.83
1.16606,79.4627
1.16668,73.7512
1.16709,84.7324
1.16753,77.8632
1.168,74.83
1.1684,86.6434
1.16888,72.0243
1.1693,81.1527
1.16974,79.474
1.1702,74.83
1.17078,79.4627
1.17124,74.83
1.17186,74.8268
1.17245,78.2507
1.17304,78.2507
1.17347,79.474
1.17408,75.9343
1.17465,80.7129
1.17526,75.9343
1.17568,82.9039
1.17608,86.6434
1.1767,74.8268
1.17727,80.7129
1.17769,81.1527
1.17831,74.8268
1.17872,84.7324
1.1792,72.0243
1.17981,75.9343
1.18036,83.335
1.18078,82.9039
1.1812,82.9039
1.18172,65.8516
1.18233,75.9343
1.1829,80.7129
1.18334,79.474
1.18393,77.0751
1.18439,76.3165
1.1848,84.7324
1.18523,79.474
1.18568,76.3165
1.18631,73.7512
1.18687,82.003
1.1875,73.7512
1.18803,87.604
1.18864,74.8268
1.18908,79.474
1.18949,84.7324
1.18998,69.4214
1.19058,77.0751
1.19102,79.474
1.19145,79.474
1.19185,86.6434
1.19231,74.83
1.19278,74.83
1.1934,73.7512
1.19403,73.7512
1.19463,77.0751
1.19534,80.9026
1.19585,90.7016
1.19625,86.6434
1.19665,86.6434
1.19717,65.8516
1.19766,70.6989
1.19825,78.2507
1.19867,82.9039
1.19908,84.7324
1.19953,76.3165
1.19994,84.7324
1.2004,74.83
1.20086,74.83
1.20133,74.83
1.20193,75.9343
1.20236,81.1527
1.20293,80.7129
1.20351,79.4627
1.20395,79.474
1.20439,77.8632
1.20489,69.4214
1.20552,73.7512
1.20603,90.7016
1.20665,73.7512
1.2071,77.8632
1.20749,86.6434
1.20812,73.7512
1.20869,80.7129
1.2093,75.9343
1.20993,73.7512
1.21054,74.8268
1.21114,77.0751
1.21174,77.0751
1.2123,83.335
1.21292,73.7512
1.21353,75.9343
1.21408,83.335
1.21469,75.9343
1.21526,82.003
1.21584,79.4627
1.21636,87.604
1.21683,73.4004
1.2174,82.003
1.21799,78.2507
1.2186,75.9343
1.21915,83.335
1.21963,72.0243
1.22008,76.3165
1.22053,77.8632
1.2211,80.7129
1.22171,75.9343
1.2223,78.2507
1.22291,74.8268
1.22353,74.8268
1.22404,90.7016
1.22446,82.9039
1.22486,86.6434
1.22536,68.1892
1.22582,76.3165
1.22626,77.8632
1.22666,86.6434
1.22728,74.8268
1.22789,75.9343
1.22846,80.7129
1.22889,79.474
1.22949,77.0751
1.22989,86.6434
1.23029,86.6434
1.23078,70.6989
1.23129,67
1.23192,73.7512
1.23247,83.335
1.23291,79.474
1.23332,84.7324
1.23378,74.83
1.23418,86.6434
1.2348,74.8268
1.23539,78.2507
1.23582,79.474
1.23641,78.2507
1.23684,81.1527
1.23733,70.6989
1.23789,82.003
1.23834,76.3165
1.23878,79.474
1.23937,78.2507
1.23995,79.4627
1.24054,78.2507
1.24103,70.6989
1.24162,78.2507
1.24204,81.1527
