Time,DataRate_Mbps
1.00812,1.33917
1.00835,0.370034
1.00853,1.47253
1.0088,0.305448
1.00954,115.301
1.01069,53.1221
1.01629,13.0073
1.02027,6.11272
1.02596,51.222
1.0299,6.1686
1.03386,6.14054
1.03779,6.18273
1.04173,6.15454
1.04567,6.1686
1.04972,6.00395
1.05375,6.03078
1.05767,6.18273
1.0616,6.18273
1.06572,126.906
1.06973,130.615
1.07381,128.024
1.07782,130.322
1.08184,130.03
1.0859,128.876
1.09002,126.906
1.09411,127.743
1.09825,126.354
1.10232,128.591
1.10678,117.284
1.11081,129.451
1.11494,126.629
1.11903,128.024
1.12312,127.743
1.12691,128.195
1.12931,121.639
1.131,115.244
1.13226,106.644
1.1332,103.349
1.1338,100.283
1.13431,95.5038
1.13483,93.8445
1.13527,82.098
1.13567,91.357
1.13613,78.8994
1.13659,80.4669
1.13711,69.4316
1.13752,89.3418
1.13803,71.8966
1.13844,87.4136
1.13878,71.8685
1.13925,77.3918
1.13979,68.2614
1.14025,78.8994
1.14084,82.3924
1.14126,87.4136
1.14171,80.4669
1.14224,68.2614
1.14287,77.6542
1.1433,85.5669
1.1438,71.8966
1.14426,78.8994
1.14473,78.8994
1.14535,77.6542
1.14581,78.8994
1.14628,78.8994
1.14676,75.9407
1.14716,89.3418
1.14762,80.4669
1.14814,69.4316
1.14861,77.3918
1.14908,77.3918
1.14955,78.8994
1.15012,84.9851
1.15061,74.5431
1.15107,78.8994
1.15156,74.5431
1.15199,83.7965
1.15249,73.1959
1.15294,82.098
1.1534,78.8994
1.15389,74.5431
1.15435,78.8994
1.15481,78.8994
1.15539,83.6687
1.15602,77.6542
1.15643,89.3418
1.15687,82.098
1.15733,78.8994
1.15764,78.1078
1.15812,75.9407
1.15855,85.5669
1.1589,70.0046
1.15936,78.8994
1.15985,74.5431
1.16031,78.8994
1.16083,69.4316
1.16142,82.3924
1.16192,73.1959
1.16236,83.7965
1.16296,79.9532
1.16344,75.9407
1.16405,79.9532
1.16447,87.4136
1.16478,78.1078
1.16531,69.4316
1.16579,75.9407
1.16621,85.5669
1.16683,78.7869
1.16724,89.3418
1.16772,75.9407
1.16823,70.6426
1.16869,78.8994
1.16911,87.4136
1.16953,87.4136
1.17005,69.4316
1.17057,70.6426
1.17105,75.9407
1.17148,83.7965
1.17208,81.1544
1.17254,80.4669
1.17294,89.3418
1.17329,70.0046
1.17374,80.4669
1.17428,68.2614
1.17475,77.3918
1.17538,77.6542
1.17581,83.7965
1.17643,78.7869
1.17686,83.7965
1.17727,89.3418
1.17777,73.1959
1.17828,71.8966
1.17871,83.7965
1.17915,83.7965
1.17946,78.1078
1.17992,78.8994
1.18038,78.8994
1.18091,68.2614
1.18154,77.6542
1.18214,81.1544
1.18277,77.6542
1.18318,87.4136
1.18349,78.1078
1.1838,78.1078
1.18433,69.4316
1.18482,74.5431
1.18541,82.3924
1.18583,87.4136
1.18623,89.3418
1.18669,80.4669
1.18701,75.9111
1.18747,78.8994
1.18793,78.8994
1.18839,78.8994
1.18891,70.6426
1.18933,85.5669
1.18981,75.9407
1.1903,74.5431
1.19074,83.7965
1.19118,82.098
1.19168,73.1959
1.19221,68.2614
1.19263,87.4136
1.19317,68.2614
1.19361,82.098
1.19401,91.357
1.19454,68.2614
1.19502,75.9407
1.19563,79.9532
1.19626,77.6542
1.19687,78.7869
1.19747,81.1544
1.19807,81.1544
1.19853,78.8994
1.19916,77.6542
1.19977,79.9532
1.20023,78.8994
1.20075,70.6426
1.20122,77.3918
1.2018,83.6687
1.20223,83.7965
1.2027,77.3918
1.20318,77.3918
1.20367,73.1959
1.20428,79.9532
1.20474,78.8994
1.20522,75.9407
1.20568,80.4669
1.20612,82.098
1.2066,75.9407
1.20721,79.9532
1.20771,73.1959
1.20832,78.7869
1.20894,78.7869
1.20936,87.4136
1.20977,87.4136
1.21009,78.1078
1.21059,71.8966
1.21105,80.4669
1.21149,82.098
1.2118,78.1078
1.21233,69.4316
1.21293,79.9532
1.21341,75.9407
1.21385,83.7965
1.21436,71.8966
1.21475,91.357
1.21515,91.357
1.21564,74.5431
1.21616,70.6426
1.21678,77.6542
1.21725,78.8994
1.21768,83.7965
1.21809,89.3418
1.21855,78.8994
1.21886,78.1078
1.21939,69.4316
1.21989,73.1959
1.22032,83.7965
1.22082,73.1959
1.22124,85.5669
1.22173,74.5431
1.2222,77.3918
1.22266,80.4669
1.22309,83.7965
1.22359,73.1959
1.22408,74.5431
1.22467,82.3924
1.22516,74.5431
1.22566,73.1959
1.22608,85.5669
1.22648,91.357
1.22693,80.4669
1.22745,70.6426
1.22796,71.8966
1.22858,77.6542
1.22905,78.8994
1.22945,89.3418
1.22996,71.8966
1.23038,87.4136
1.23084,78.8994
1.23127,83.7965
1.23159,75.9111
1.23205,80.4669
1.23254,74.5431
1.23302,75.9407
1.23342,89.3418
1.23396,68.2614
1.23458,77.6542
1.23521,77.6542
1.23583,78.7869
1.23632,74.5431
1.23675,83.7965
1.23718,85.5669
1.23767,74.5431
1.23807,89.3418
1.23857,73.1959
1.23906,74.5431
1.23953,77.3918
1.24004,71.8966
1.24044,91.357
1.24092,75.9407
1.24154,78.7869
1.24202,74.5431
1.24245,85.5669
1.24289,82.098
1.24341,70.6426
1.24388,77.3918
1.24433,82.098
1.24495,77.6542
1.24536,89.3418
1.24586,73.1959
1.24627,87.4136
1.24659,75.9111
1.24712,69.4316
1.24757,80.4669
1.24801,83.7965
1.24853,69.4316
1.24898,82.098
1.24959,78.7869
1.25004,82.098
1.25055,70.6426
1.25112,86.3437
1.25155,83.7965
1.25209,68.2614
1.25269,79.9532
1.25314,82.098
1.25355,87.4136
1.25403,75.9407
1.25445,87.4136
1.25499,68.2614
1.25545,78.8994
1.25596,70.6426
1.25639,85.5669
1.25684,80.4669
1.25724,91.357
1.25771,77.3918
1.25815,83.7965
1.25849,70.0046
1.25896,78.8994
1.25943,77.3918
1.25994,70.6426
1.26043,74.5431
1.26088,82.098
1.26132,82.098
1.26182,73.1959
1.26222,91.357
1.26264,85.5669
1.26311,77.3918
1.26359,75.9407
1.26403,83.7965
1.26437,71.8685
1.26487,71.8966
1.26539,70.6426
1.26583,83.7965
1.26622,91.357
1.26665,85.5669
1.26716,71.8966
1.26763,77.3918
1.2681,77.3918
1.26855,80.4669
1.26905,73.1959
1.26953,75.9407
1.27002,74.5431
1.27043,89.3418
1.27089,78.8994
1.27132,85.5669
1.27179,77.3918
1.27231,69.4316
1.27294,77.6542
1.27339,80.4669
1.27388,74.5431
1.27436,75.9407
1.27494,83.6687
1.27539,80.4669
1.27582,85.5669
1.27628,78.8994
1.27673,82.098
1.27706,71.8685
1.27754,77.3918
1.27802,74.5431
1.27852,73.1959
1.27899,77.3918
1.27962,77.6542
1.28022,81.1544
1.28069,77.3918
1.2811,89.3418
1.28151,89.3418
1.28199,74.5431
1.28245,80.4669
1.28277,75.9111
1.28328,70.6426
1.28369,89.3418
1.28401,75.9111
1.28447,78.8994
1.28494,78.8994
1.28537,83.7965
1.28587,73.1959
1.28635,75.9407
1.2868,80.4669
1.28731,71.8966
1.28783,69.4316
1.28825,87.4136
1.28865,91.357
1.28896,78.1078
1.2894,82.098
1.2899,73.1959
1.29038,75.9407
1.29091,69.4316
1.29132,87.4136
1.2918,75.9407
1.29243,77.6542
1.29286,85.5669
1.29326,89.3418
1.2938,68.2614
1.29442,77.6542
1.29484,87.4136
1.29529,82.098
1.29563,70.0046
1.29608,82.098
1.29653,80.4669
1.297,77.3918
1.29747,77.3918
1.29791,83.7965
1.29842,70.6426
1.2989,75.9407
1.29936,80.4669
1.29982,78.8994
1.30026,82.098
1.30057,78.1078
1.30111,68.2614
1.30173,77.6542
1.30236,77.6542
1.30295,82.3924
1.30355,81.1544
1.30399,82.098
1.30447,75.9407
1.30493,78.8994
1.30544,71.8966
1.30586,87.4136
1.30633,77.3918
1.30676,83.7965
1.30718,87.4136
1.30754,68.2348
1.30802,75.9407
1.30844,85.5669
1.30891,77.3918
1.30923,75.9111
1.30972,74.5431
1.31025,69.4316
1.31083,83.6687
1.3113,77.3918
1.31172,87.4136
1.31224,69.4316
1.31286,78.7869
1.31331,80.4669
1.31394,77.6542
1.31444,73.1959
1.3149,78.8994
1.31552,77.6542
1.31608,87.7463
1.31657,74.5431
1.31705,75.9407
1.31745,89.3418
1.31786,89.3418
1.31834,75.9407
1.31867,73.8345
1.31913,78.8994
1.31958,82.098
1.31989,78.1078
1.32039,73.1959
1.32086,77.3918
1.3213,82.098
1.32174,83.7965
1.32225,70.6426
1.32271,78.8994
1.3232,74.5431
1.3237,73.1959
1.32412,87.4136
1.32456,82.098
1.32508,70.6426
1.32549,89.3418
1.32589,89.3418
1.32624,70.0046
1.32673,74.5431
1.32726,69.4316
1.32766,89.3418
1.32812,80.4669
1.32853,87.4136
1.329,78.8994
1.32944,82.098
1.32975,78.1078
1.3301,70.0046
1.3306,73.1959
1.33099,91.357
1.33134,70.0046
1.33165,78.1078
1.33218,69.4316
1.3326,85.5669
1.33314,68.2614
1.3336,78.8994
1.33403,85.5669
1.33451,74.5431
1.33498,78.8994
1.33559,78.7869
1.33621,78.7869
1.33681,81.1544
1.33722,89.3418
1.33754,75.9111
1.33802,75.9407
1.33843,87.4136
1.3389,78.8994
1.33935,80.4669
1.33985,73.1959
1.3403,80.4669
1.34062,75.9111
1.34112,73.1959
1.34165,68.2614
1.34227,78.7869
1.34272,80.4669
1.34318,80.4669
1.34364,78.8994
1.34413,74.5431
1.34457,82.098
1.34506,74.5431
1.34567,79.9532
1.34625,83.6687
1.34686,79.9532
1.34726,89.3418
1.34773,78.8994
1.34804,78.1078
1.34854,73.1959
1.34895,87.4136
1.34947,70.6426
1.34998,71.8966
1.35058,79.9532
1.35121,77.6542
1.35181,81.1544
1.35222,89.3418
1.35272,71.8966
1.35323,71.8966
1.35369,78.8994
1.35432,77.6542
1.35476,82.098
1.35523,77.3918
1.35585,78.7869
1.35633,75.9407
1.35678,82.098
1.35717,91.357
1.35771,68.2614
1.35814,83.7965
1.35857,85.5669
1.35909,69.4316
1.35955,80.4669
1.36,80.4669
1.36044,83.7965
1.36093,73.1959
1.36145,70.6426
1.36205,81.1544
1.36254,74.5431
1.36312,83.6687
1.36361,74.5431
1.36407,78.8994
1.36447,91.357
1.36497,73.1959
1.36546,74.5431
1.36591,80.4669
1.36651,81.1544
1.36712,78.7869
1.36774,78.7869
1.36825,71.8966
1.36868,83.7965
1.36929,79.9532
1.36974,80.4669
1.37018,83.7965
1.37064,78.8994
1.37113,74.5431
1.37176,77.6542
1.37222,78.8994
1.37264,85.5669
1.37315,71.8966
1.37362,77.3918
1.37411,74.5431
1.37458,77.3918
1.37504,78.8994
1.37552,77.3918
1.37599,77.3918
1.37657,83.6687
1.37699,85.5669
1.37751,70.6426
1.37794,85.5669
1.37842,74.5431
1.3789,75.9407
1.37951,79.9532
1.38013,78.7869
1.38059,78.8994
1.38104,80.4669
1.38148,83.7965
1.38193,80.4669
1.38224,78.1078
1.38267,85.5669
1.383,73.8345
1.38353,68.2614
1.38397,83.7965
1.38438,87.4136
1.38482,83.7965
1.38514,75.9111
1.38562,75.9407
1.38593,78.1078
1.38645,70.6426
1.38691,78.8994
1.38742,70.6426
1.38802,81.1544
1.38863,79.9532
1.38905,87.4136
1.38946,89.3418
1.38992,78.8994
1.39025,73.8345
1.39056,78.1078
1.39101,80.4669
1.3915,74.5431
1.39181,78.1078
1.39233,70.6426
1.3928,77.3918
1.39331,71.8966
1.39371,89.3418
1.39412,89.3418
1.39443,78.1078
1.39489,80.4669
1.39533,82.098
1.39569,66.5523
1.39617,77.3918
1.39648,78.1078
1.39692,82.098
1.39737,80.4669
1.39784,78.8994
1.3983,78.8994
1.3988,71.8966
1.39922,87.4136
1.39957,70.0046
1.40008,70.6426
1.40069,79.9532
1.40116,77.3918
1.40158,87.4136
1.40199,89.3418
1.40251,69.4316
1.40298,77.3918
1.4034,87.4136
1.40394,68.2614
1.40442,74.5431
1.40488,80.4669
1.40534,78.8994
1.40597,77.6542
1.40656,82.3924
1.40701,80.4669
1.40753,69.4316
1.408,78.8994
1.4086,79.9532
1.40907,78.8994
1.40948,87.4136
1.40996,75.9407
1.41043,77.3918
1.41086,85.5669
1.41139,68.2614
1.41186,78.8994
1.41246,79.9532
1.41293,77.3918
1.41336,85.5669
1.41386,73.1959
1.41435,74.5431
1.4148,80.4669
1.41542,78.7869
1.416,83.6687
1.41644,82.098
1.41693,74.5431
1.41743,73.1959
1.41787,82.098
1.4183,85.5669
1.41871,89.3418
1.41922,70.6426
1.41972,73.1959
1.42012,91.357
1.42065,69.4316
1.42111,78.8994
1.42152,87.4136
1.42184,78.1078
1.42229,80.4669
1.4228,70.6426
1.42327,78.8994
1.42376,73.1959
1.42421,82.098
1.42465,82.098
1.42511,80.4669
1.42559,74.5431
1.42607,77.3918
1.42652,80.4669
1.42693,89.3418
1.42725,75.9111
1.42772,77.3918
1.42817,80.4669
1.4287,69.4316
1.42932,77.6542
1.42978,78.8994
1.43041,77.6542
1.43081,91.357
1.43112,78.1078
1.43161,74.5431
1.43204,83.7965
1.43249,82.098
1.43291,85.5669
1.43344,69.4316
1.43394,73.1959
1.43435,89.3418
1.43488,68.2614
1.43549,79.9532
1.43598,74.5431
1.43658,79.9532
1.43706,75.9407
1.43753,78.8994
1.43793,91.357
1.43842,73.1959
1.43887,82.098
1.43934,77.3918
1.43979,80.4669
1.44028,74.5431
1.44073,80.4669
1.44115,87.4136
1.44158,85.5669
1.44206,75.9407
1.44256,71.8966
1.44307,71.8966
1.44356,74.5431
1.444,82.098
1.44443,85.5669
1.44489,78.8994
1.44541,70.6426
1.44602,79.9532
1.44641,91.357
1.44691,73.1959
1.44737,78.8994
1.44781,83.7965
1.44833,70.6426
1.44877,82.098
1.44921,82.098
1.44972,71.8966
1.45014,87.4136
1.45062,75.9407
1.45112,73.1959
1.45172,79.9532
1.45215,85.5669
1.45258,83.7965
1.4529,78.1078
1.45321,78.1078
1.45369,75.9407
1.45419,71.8966
1.45464,82.098
1.45514,71.8966
1.45576,78.7869
1.45621,80.4669
1.45661,91.357
1.45711,73.1959
1.4576,74.5431
1.45823,77.6542
1.45872,73.1959
1.45934,78.7869
1.45975,89.3418
1.46017,87.4136
1.46068,70.6426
1.46117,74.5431
1.46166,74.5431
1.46229,77.6542
1.4629,78.7869
1.46352,78.7869
1.46412,81.1544
1.46456,82.098
1.46503,78.8994
1.46547,82.098
1.46594,77.3918
1.46644,73.1959
1.46691,77.3918
1.46751,81.1544
1.468,74.5431
1.46841,87.4136
1.46889,75.9407
1.4694,71.8966
1.46999,82.3924
1.47046,77.3918
1.47092,78.8994
1.47154,78.7869
1.47204,73.1959
1.47247,85.5669
1.47288,87.4136
1.47339,71.8966
1.47381,87.4136
1.47425,82.098
1.47474,74.5431
1.47523,74.5431
1.47565,87.4136
1.47612,77.3918
1.47664,69.4316
